model,class,psnr,ssim,fsim,lpips
SharpXR,Normal,33.01986127988863,0.8981822729110718,0.9267317056655884,0.19139990210533142
SharpXR,Normal,31.718852560394662,0.8610231876373291,0.9064235687255859,0.23817530274391174
SharpXR,Normal,32.709526560462464,0.8966181874275208,0.9233572483062744,0.2022848129272461
SharpXR,Normal,33.724556473058314,0.9223881363868713,0.9397783279418945,0.17526745796203613
SharpXR,Normal,32.3410489000228,0.8529830574989319,0.904945969581604,0.2547088861465454
SharpXR,Normal,33.82982857784262,0.9147527813911438,0.936513364315033,0.19792184233665466
SharpXR,Normal,33.3367657723794,0.8960729241371155,0.9267210960388184,0.2364634871482849
SharpXR,Normal,33.97892844774246,0.921107828617096,0.9384607672691345,0.2071940302848816
SharpXR,Normal,32.13937196233275,0.8948548436164856,0.930895984172821,0.18524393439292908
SharpXR,Normal,32.18559240770152,0.8770966529846191,0.9230882525444031,0.2272305190563202
SharpXR,Normal,33.1347252965051,0.912551760673523,0.9367867708206177,0.1647363156080246
SharpXR,Normal,32.94402625000632,0.8842045068740845,0.9231753945350647,0.22569186985492706
SharpXR,Normal,33.13203992214611,0.8880444169044495,0.9170756936073303,0.23680488765239716
SharpXR,Normal,34.34749805348136,0.9088578820228577,0.9331506490707397,0.21174076199531555
SharpXR,Normal,33.68809688864006,0.8907210230827332,0.9417290091514587,0.1730097383260727
SharpXR,Normal,32.314906487719796,0.8729106783866882,0.9110217690467834,0.2613205313682556
SharpXR,Normal,33.98479150109436,0.9119478464126587,0.9345011115074158,0.21654002368450165
SharpXR,Normal,33.31561224638563,0.8963989615440369,0.9215191602706909,0.21417269110679626
SharpXR,Normal,32.9594680460488,0.8956968188285828,0.9258831143379211,0.1794929802417755
SharpXR,Normal,33.76668894180377,0.9083474278450012,0.934165358543396,0.2044866383075714
SharpXR,Normal,34.92071034767069,0.9318386912345886,0.9429700970649719,0.16929951310157776
SharpXR,Normal,33.58213514502974,0.9084666967391968,0.9338856339454651,0.19100695848464966
SharpXR,Normal,33.83237547090205,0.9060375094413757,0.9291354417800903,0.21717941761016846
SharpXR,Normal,31.59773023012217,0.832886278629303,0.8901842832565308,0.319494366645813
SharpXR,Normal,32.8083033029511,0.8910428285598755,0.9238420128822327,0.21718931198120117
SharpXR,Normal,33.43687381207025,0.9153501987457275,0.9336069822311401,0.18042288720607758
SharpXR,Normal,31.680463980821614,0.8799934983253479,0.9171770811080933,0.19916918873786926
SharpXR,Normal,31.694733740360086,0.8770204782485962,0.9111716151237488,0.22918392717838287
SharpXR,Normal,33.77218119300168,0.9126388430595398,0.933253288269043,0.21173585951328278
SharpXR,Normal,33.087242340641254,0.9004900455474854,0.9269784688949585,0.2386092245578766
SharpXR,Normal,31.759662630868753,0.8486696481704712,0.9038919806480408,0.2388382852077484
SharpXR,Normal,33.0160480129634,0.9044668674468994,0.928763747215271,0.1904633790254593
SharpXR,Normal,31.793515276778518,0.8738348484039307,0.9166104793548584,0.22437544167041779
SharpXR,Normal,31.136459774466246,0.8495851755142212,0.9000337719917297,0.25002703070640564
SharpXR,Normal,31.74116243156536,0.8821765184402466,0.9207385182380676,0.19242630898952484
SharpXR,Normal,33.04890899629264,0.896712601184845,0.9286115765571594,0.189631849527359
SharpXR,Normal,34.361467313548815,0.9282001852989197,0.9448636770248413,0.15751305222511292
SharpXR,Normal,34.486857522712945,0.922016441822052,0.9391546845436096,0.2420903444290161
SharpXR,Normal,32.5925443186115,0.8990013003349304,0.929328441619873,0.18487198650836945
SharpXR,Normal,30.95609396080703,0.8569381237030029,0.901848554611206,0.21507370471954346
SharpXR,Normal,32.94809872524971,0.90146803855896,0.926302433013916,0.21475426852703094
SharpXR,Normal,33.50258803209625,0.896300733089447,0.9256023168563843,0.22688959538936615
SharpXR,Normal,31.019772174908248,0.8574732542037964,0.9055635333061218,0.22803664207458496
SharpXR,Normal,32.80200356200929,0.8947284817695618,0.9201274514198303,0.19945284724235535
SharpXR,Normal,32.67194026147468,0.8877854347229004,0.91802978515625,0.20296037197113037
SharpXR,Normal,32.230826336919215,0.8787683248519897,0.9208157658576965,0.22451168298721313
SharpXR,Normal,34.5071637796412,0.8954867124557495,0.9199921488761902,0.2457086145877838
SharpXR,Normal,31.773334795274252,0.890020489692688,0.9177284240722656,0.18581001460552216
SharpXR,Normal,32.47073129351986,0.8851621747016907,0.9228103756904602,0.208913654088974
SharpXR,Normal,32.56269008063973,0.891412079334259,0.9208410382270813,0.19851082563400269
SharpXR,Normal,32.49069756387716,0.8852394223213196,0.9267238974571228,0.22921815514564514
SharpXR,Normal,33.42835310129856,0.896094799041748,0.9265419840812683,0.20848846435546875
SharpXR,Normal,32.813420516709954,0.8850686550140381,0.9158624410629272,0.23475375771522522
SharpXR,Normal,32.88263884153396,0.9046111702919006,0.9312889575958252,0.1689915657043457
SharpXR,Normal,33.11419164512931,0.8901634216308594,0.9291989207267761,0.21998551487922668
SharpXR,Normal,33.980818278791425,0.904509961605072,0.9307163953781128,0.19948089122772217
SharpXR,Normal,34.477562012677716,0.9278270602226257,0.941536009311676,0.21011734008789062
SharpXR,Normal,32.26320911339936,0.863513708114624,0.9079234004020691,0.24577948451042175
SharpXR,Normal,32.505575307504195,0.8901320695877075,0.9283625483512878,0.20847654342651367
SharpXR,Normal,33.24570534595803,0.9013811349868774,0.9315488934516907,0.19953975081443787
SharpXR,Normal,33.43774596638261,0.8986013531684875,0.9291206002235413,0.2166350781917572
SharpXR,Normal,33.571975699829466,0.9154326915740967,0.9364430904388428,0.16726791858673096
SharpXR,Normal,32.723963608867315,0.876102864742279,0.9187249541282654,0.25401395559310913
SharpXR,Normal,32.70455898498771,0.8990721106529236,0.931517481803894,0.18803180754184723
SharpXR,Normal,33.50702673894465,0.9043412208557129,0.9259059429168701,0.1974738985300064
SharpXR,Normal,31.21352565431829,0.880370557308197,0.9204098582267761,0.19998645782470703
SharpXR,Normal,31.23504902995971,0.8478684425354004,0.9044213891029358,0.249339759349823
SharpXR,Normal,31.375040566474112,0.8630855083465576,0.9116944670677185,0.24010495841503143
SharpXR,Normal,30.7485264084927,0.8411535620689392,0.8981379866600037,0.2500755190849304
SharpXR,Normal,32.44194576271467,0.8772997260093689,0.9127784371376038,0.24368159472942352
SharpXR,Normal,34.59875219431923,0.9273207187652588,0.9399593472480774,0.2007143795490265
SharpXR,Normal,33.86956452769702,0.8893532156944275,0.9227782487869263,0.23445618152618408
SharpXR,Normal,33.7335385907359,0.9068161249160767,0.9370993375778198,0.20696139335632324
SharpXR,Normal,34.11247392904982,0.9175170660018921,0.9366539716720581,0.19283220171928406
SharpXR,Normal,33.52047448211878,0.906234622001648,0.9206202030181885,0.2720980644226074
SharpXR,Normal,32.047421459558066,0.8857066035270691,0.920590341091156,0.21297280490398407
SharpXR,Normal,31.61499893674317,0.8690721392631531,0.9047910571098328,0.2519814074039459
SharpXR,Normal,32.902144419077295,0.9042870998382568,0.9324291348457336,0.1683589220046997
SharpXR,Normal,34.01678850100049,0.9068997502326965,0.9330445528030396,0.2451396882534027
SharpXR,Normal,32.872519603731924,0.9004350900650024,0.933458685874939,0.18159900605678558
SharpXR,Normal,33.832271306054906,0.8933917880058289,0.9238678216934204,0.24457648396492004
SharpXR,Normal,33.45345825143098,0.9013594388961792,0.9329691529273987,0.20361624658107758
SharpXR,Normal,31.95218570871686,0.8714724779129028,0.9133614301681519,0.22022166848182678
SharpXR,Normal,32.41565853844659,0.8910698890686035,0.9252890944480896,0.20480036735534668
SharpXR,Normal,32.72369855411593,0.8924960494041443,0.9320799112319946,0.1936894953250885
SharpXR,Normal,34.982094935833075,0.9265772104263306,0.9385766983032227,0.21101808547973633
SharpXR,Normal,33.334472237865455,0.9052726626396179,0.9313428997993469,0.18312108516693115
SharpXR,Normal,33.72553515639069,0.9062014222145081,0.9324141144752502,0.18920670449733734
SharpXR,Normal,31.783319740944243,0.8934003114700317,0.9275093078613281,0.203965425491333
SharpXR,Normal,33.608464412518174,0.8956196904182434,0.926937997341156,0.22326160967350006
SharpXR,Normal,32.80768078285913,0.901473343372345,0.9305130243301392,0.17980292439460754
SharpXR,Normal,31.97028183467185,0.8824227452278137,0.918016254901886,0.20846115052700043
SharpXR,Normal,34.154142647537746,0.9190115332603455,0.9406920075416565,0.19058747589588165
SharpXR,Normal,32.4955224148047,0.8777903914451599,0.9217674732208252,0.22723735868930817
SharpXR,Normal,33.72922508250034,0.914960503578186,0.9314684271812439,0.189082071185112
SharpXR,Normal,31.67166483269332,0.8670604825019836,0.9058996438980103,0.23317205905914307
SharpXR,Normal,33.07596309685669,0.8956343531608582,0.9284813404083252,0.19633547961711884
