arm,noise_level,psnr
ffdnet,low,34.8613
ffdnet,low,34.1504
ffdnet,low,36.1417
ffdnet,low,36.3716
ffdnet,low,35.4654
ffdnet,low,33.9604
ffdnet,low,36.2363
ffdnet,low,35.0205
ffdnet,low,34.2546
ffdnet,low,34.6373
ffdnet,low,34.1143
ffdnet,low,35.4211
ffdnet,low,35.1673
ffdnet,low,35.4237
ffdnet,low,35.5825
ffdnet,low,33.582
ffdnet,low,36.5972
ffdnet,low,36.2434
ffdnet,low,36.248
ffdnet,low,36.3657
ffdnet,low,36.106
ffdnet,low,34.8131
ffdnet,low,35.6856
ffdnet,low,35.5069
ffdnet,low,36.0161
ffdnet,low,35.4834
ffdnet,low,36.2593
ffdnet,low,36.1097
ffdnet,low,34.4309
ffdnet,low,33.9463
ffdnet,low,33.5322
ffdnet,low,34.9457
ffdnet,low,35.2292
ffdnet,low,35.2177
ffdnet,low,35.8357
ffdnet,low,35.008
ffdnet,low,34.0623
ffdnet,low,35.3627
ffdnet,low,33.8519
ffdnet,low,36.4075
ffdnet,low,34.6254
ffdnet,low,34.4526
ffdnet,low,36.1251
ffdnet,low,34.8228
ffdnet,low,36.1493
ffdnet,low,35.1051
ffdnet,low,34.601
ffdnet,low,36.1257
ffdnet,low,35.3226
ffdnet,low,34.5773
ffdnet,low,35.8928
ffdnet,low,34.9995
ffdnet,low,33.2913
ffdnet,low,33.6122
ffdnet,low,33.7333
ffdnet,low,33.4384
ffdnet,low,34.756
ffdnet,low,34.321
ffdnet,low,35.5261
ffdnet,low,36.1933
ffdnet,low,34.702
ffdnet,low,34.6459
ffdnet,low,34.6438
ffdnet,low,34.6932
ffdnet,low,33.4426
ffdnet,low,34.9652
ffdnet,low,34.0417
ffdnet,low,35.6562
ffdnet,low,34.6198
ffdnet,low,36.5442
ffdnet,low,36.0967
ffdnet,low,35.7638
ffdnet,low,35.3371
ffdnet,low,35.0875
ffdnet,low,35.9552
ffdnet,low,33.1513
ffdnet,low,34.6809
ffdnet,low,34.659
ffdnet,low,34.0161
ffdnet,low,33.4706
ffdnet,low,34.7782
ffdnet,low,35.5052
ffdnet,low,35.5775
ffdnet,low,35.111
ffdnet,low,36.4125
ffdnet,low,35.5477
ffdnet,low,36.313
ffdnet,low,36.3275
ffdnet,low,36.4595
ffdnet,low,34.1916
ffdnet,low,35.883
ffdnet,low,35.1699
ffdnet,low,36.0464
ffdnet,low,34.4623
ffdnet,low,35.7848
ffdnet,low,35.1591
ffdnet,low,35.0047
ffdnet,low,35.8056
ffdnet,low,36.4164
ffdnet,low,35.0952
ffdnet,low,33.9858
ffdnet,low,35.612
ffdnet,low,35.1629
ffdnet,low,36.5984
ffdnet,low,36.7196
ffdnet,low,34.1447
ffdnet,low,35.966
ffdnet,low,35.3317
ffdnet,low,36.2903
ffdnet,low,35.5955
ffdnet,low,35.3492
ffdnet,low,35.4414
ffdnet,low,35.6062
ffdnet,low,34.8696
ffdnet,low,35.2938
ffdnet,low,36.1721
ffdnet,low,36.0305
ffdnet,low,34.4796
ffdnet,low,36.32
ffdnet,low,33.3878
ffdnet,low,35.6299
ffdnet,low,34.86
ffdnet,low,35.31
ffdnet,low,34.1673
ffdnet,low,32.9994
ffdnet,low,35.323
ffdnet,low,34.623
