model,class,psnr,ssim,lpips
DnCNN,Normal,32.330320393777626,0.8731934428215027,0.31888899207115173
SCUNet,Normal,34.42398853097064,0.9183868765830994,0.2015519142150879
A (L2),Normal,33.845690632536204,0.9067620038986206,0.19781097769737244
D (NLL+SSIM+FFL),Normal,32.62032797891098,0.8803830742835999,0.24061894416809082
H (PP-VAE),Normal,31.71058066079803,0.8575185537338257,0.2878762185573578
DnCNN,Normal,31.893568878089795,0.8583659529685974,0.2544756531715393
SCUNet,Normal,33.938074350953556,0.9074113965034485,0.19458644092082977
A (L2),Normal,33.42060556800834,0.903256356716156,0.17185530066490173
D (NLL+SSIM+FFL),Normal,32.36748130830935,0.8817923665046692,0.20561029016971588
H (PP-VAE),Normal,31.502563500820834,0.8640785813331604,0.25901973247528076
DnCNN,Normal,31.659056307088814,0.8624380826950073,0.2543048560619354
SCUNet,Normal,33.55412300509657,0.9054396152496338,0.16833102703094482
A (L2),Normal,34.29344564046279,0.918224573135376,0.18995586037635803
D (NLL+SSIM+FFL),Normal,32.95050714280428,0.8941179513931274,0.24213774502277374
H (PP-VAE),Normal,32.134986725557376,0.8779559135437012,0.27467018365859985
DnCNN,Normal,32.258771091964164,0.8735024929046631,0.27718088030815125
SCUNet,Normal,34.36514917001209,0.9188640117645264,0.18785133957862854
A (L2),Normal,35.48285431341785,0.9406733512878418,0.15323901176452637
D (NLL+SSIM+FFL),Normal,34.06337404241504,0.9197507500648499,0.21402394771575928
H (PP-VAE),Normal,33.145661549178556,0.9023863077163696,0.258343905210495
DnCNN,Normal,33.18977863160507,0.9016604423522949,0.26025253534317017
SCUNet,Normal,35.63108272993623,0.9432684183120728,0.1463630497455597
A (L2),Normal,34.21183765917162,0.9171382188796997,0.17896847426891327
D (NLL+SSIM+FFL),Normal,32.73807459853693,0.8932336568832397,0.23180103302001953
H (PP-VAE),Normal,31.771686615317467,0.8725312352180481,0.26807382702827454
DnCNN,Normal,31.905782114870235,0.8689953684806824,0.2585732340812683
SCUNet,Normal,34.31455337437353,0.9195326566696167,0.17814767360687256
A (L2),Normal,34.24604781031902,0.9118794202804565,0.21816813945770264
D (NLL+SSIM+FFL),Normal,33.17253057231769,0.8965128660202026,0.23787705600261688
H (PP-VAE),Normal,32.50315212272585,0.884678304195404,0.2504452168941498
DnCNN,Normal,32.40809504598772,0.8748557567596436,0.2381574511528015
SCUNet,Normal,34.368066908309835,0.913000226020813,0.21636147797107697
A (L2),Normal,31.953325905732886,0.8434358835220337,0.3104524314403534
D (NLL+SSIM+FFL),Normal,31.360995813516382,0.8263007998466492,0.3568234145641327
H (PP-VAE),Normal,30.87049049801813,0.8107276558876038,0.38761621713638306
DnCNN,Normal,31.02520022323847,0.8122909665107727,0.3701922297477722
SCUNet,Normal,32.09643317779415,0.8486121892929077,0.298267662525177
A (L2),Normal,33.23669917951081,0.89970463514328,0.21180252730846405
D (NLL+SSIM+FFL),Normal,32.167140589705426,0.8775736093521118,0.25088271498680115
H (PP-VAE),Normal,31.47026590474127,0.8629232048988342,0.27623432874679565
DnCNN,Normal,31.570725961867442,0.8577398657798767,0.2722156047821045
SCUNet,Normal,33.39507749440325,0.9029608964920044,0.20995086431503296
